symbol,timestamp,trade_number,action,entry_price,exit_price,price_change_pct,prob,pred_direction,actual_direction,correct,position_size_pct,trade_capital,pnl_pct,pnl_amount,fee_paid,capital_after,peak_capital,drawdown_pct,cumulative_pnl,cumulative_trades,cumulative_win_rate_pct,portfolio_return_pct
BTC/USDT,2026-02-02 05:00:00,323,SHORT,0.111811,0.26207,134.3875,0.0,0,1,False,25.0,0.22,-134.4875,-0.3,0.0002,0.58,1119.16,-99.95,-999.42,323,49.23,-99.94
BTC/USDT,2026-02-02 06:00:00,324,SHORT,0.26207,0.275613,5.1674,0.0,0,1,False,25.0,0.15,-5.2674,-0.01,0.0001,0.58,1119.16,-99.95,-999.42,324,49.07,-99.94
BTC/USDT,2026-02-02 07:00:00,325,SHORT,0.275613,0.236763,-14.0958,0.0,0,0,True,25.0,0.14,13.9958,0.02,0.0001,0.6,1119.16,-99.95,-999.4,325,49.23,-99.94
BTC/USDT,2026-02-02 08:00:00,326,SHORT,0.236763,0.16096,-32.0164,0.0,0,0,True,25.0,0.15,31.9164,0.05,0.0001,0.64,1119.16,-99.94,-999.36,326,49.39,-99.94
BTC/USDT,2026-02-02 09:00:00,327,SHORT,0.16096,0.162626,1.0352,0.0,0,1,False,25.0,0.16,-1.1352,-0.0,0.0002,0.64,1119.16,-99.94,-999.36,327,49.24,-99.94
BTC/USDT,2026-02-02 10:00:00,328,SHORT,0.162626,0.16492,1.4104,0.0,0,1,False,25.0,0.16,-1.5104,-0.0,0.0002,0.64,1119.16,-99.94,-999.36,328,49.09,-99.94
BTC/USDT,2026-02-02 11:00:00,329,SHORT,0.16492,0.090887,-44.8903,0.0,0,0,True,25.0,0.16,44.7903,0.07,0.0002,0.71,1119.16,-99.94,-999.29,329,49.24,-99.93
BTC/USDT,2026-02-02 12:00:00,330,SHORT,0.090887,0.111865,23.0822,0.0,0,1,False,25.0,0.18,-23.1822,-0.04,0.0002,0.67,1119.16,-99.94,-999.33,330,49.09,-99.93
BTC/USDT,2026-02-02 13:00:00,331,SHORT,0.111865,0.163476,46.1361,0.0,0,1,False,25.0,0.17,-46.2361,-0.08,0.0002,0.59,1119.16,-99.95,-999.41,331,48.94,-99.94
BTC/USDT,2026-02-02 14:00:00,332,SHORT,0.163476,0.238449,45.8619,0.0,0,1,False,25.0,0.15,-45.9619,-0.07,0.0001,0.52,1119.16,-99.95,-999.48,332,48.8,-99.95
