timestamp,entry_price,exit_price,prob,action,pred_direction,actual_direction,correct,pnl_pct,capital,drawdown_pct,regime,regime_conf,tsmom_sign,z_score,position_frac_used
2026-04-07 12:00:00,0.05700571905743332,0.03563798863955795,0.59096134,LONG,1,0,False,-0.3758348546633954,995.1222161485543,0.7952,MEAN_REVERTING,0.7992,-1.0,-2.0294,0.0136
2026-04-07 13:00:00,0.03563798863955795,0.043404944764141216,0.6062778,LONG,1,1,True,0.21694036142550402,998.4534565228988,0.4631,MEAN_REVERTING,0.7744,-1.0,-2.4745,0.0154
2026-04-07 14:00:00,0.043404944764141216,0.041053693825965305,0.6143669,LONG,1,0,False,-0.055170117044323154,997.533813324426,0.5548,MEAN_REVERTING,0.7785,-1.0,-2.0909,0.0167
2026-04-07 15:00:00,0.041053693825965305,0.03659378464674379,0.6174033,LONG,1,0,False,-0.10963600235652243,995.6622267641798,0.7414,MEAN_REVERTING,0.7774,-1.0,-2.0433,0.0171
2026-04-07 16:00:00,0.03659378464674379,0.03868635562683337,0.62022483,LONG,1,1,True,0.056183781352218874,996.63231076298,0.6447,MEAN_REVERTING,0.7693,-1.0,-2.0364,0.0173
2026-04-07 17:00:00,0.03868635562683337,0.04184156634235575,0.61751807,LONG,1,1,True,0.08055874763592069,997.9991121051162,0.5084,MEAN_REVERTING,0.7726,-1.0,-1.8628,0.017
2026-04-07 18:00:00,0.04184156634235575,0.045731739292576415,0.619059,LONG,1,1,True,0.09197388435199866,999.6179627013206,0.3471,MEAN_REVERTING,0.79,-1.0,-1.6861,0.0176
2026-04-07 19:00:00,0.045731739292576415,0.044375389710862786,0.616016,LONG,1,0,False,-0.030658823449424395,999.0920553107402,0.3995,MEAN_REVERTING,0.7889,-1.0,-1.5245,0.0172
2026-04-07 20:00:00,0.044375389710862786,0.04191533672839923,0.61284685,HOLD,1,0,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.7881,-1.0,-1.4896,0.0
2026-04-07 21:00:00,0.04191533672839923,0.04914976737387528,0.6077816,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.7886,-1.0,-1.4851,0.0
2026-04-07 22:00:00,0.04914976737387528,0.05520345771019604,0.6028716,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.7694,-1.0,-1.2674,0.0
2026-04-07 23:00:00,0.05520345771019604,0.050598122808815434,0.585183,HOLD,1,0,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.7952,-1.0,-1.0916,0.0
2026-04-08 00:00:00,0.050598122808815434,0.04390434014880733,0.56481934,HOLD,1,0,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.8149,-1.0,-1.1549,0.0
2026-04-08 01:00:00,0.04390434014880733,0.049224300484611606,0.50929374,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.9124,-1.0,-1.2443,0.0
2026-04-08 02:00:00,0.049224300484611606,0.06291306680695147,0.4901465,HOLD,0,1,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.9996,-1.0,-1.0838,0.0
2026-04-08 03:00:00,0.06291306680695147,0.1080522182889573,0.5047556,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.9514,-1.0,-0.7649,0.0
2026-04-08 04:00:00,0.1080522182889573,0.08464063851442702,0.5140987,HOLD,1,0,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.9764,-1.0,0.2004,0.0
2026-04-08 05:00:00,0.08464063851442702,0.0516032125824003,0.49559996,HOLD,0,0,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.9697,-1.0,-0.275,0.0
2026-04-08 06:00:00,0.0516032125824003,0.07809362396727458,0.50392056,HOLD,1,1,True,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.9655,-1.0,-0.9518,0.0
2026-04-08 07:00:00,0.07809362396727458,0.05971393089183853,0.52811146,HOLD,1,0,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.9917,-1.0,-0.3704,0.0
2026-04-08 08:00:00,0.05971393089183853,0.053337326592941846,0.54066813,HOLD,1,0,False,0.0,999.0920553107402,0.3995,MEAN_REVERTING,0.9773,-1.0,-0.732,0.0
